analysis             sr                         o          b          db              s          ds             s95obs    s95exp    robscons          rexpcons          
atlas_1802_03158     SRaaSH                     0.0        0.48       0.27613402543   0.0        2507.14        2.97      2.9       0                 0                 
atlas_1802_03158     SRaaSL                     0.0        0.5        0.280713376952  0.0        2507.14        3.0       2.9       0                 0                 
atlas_1802_03158     SRaaWH                     1.0        2.05       0.640078120232  0.0        2507.14        3.53      4.4       0                 0                 
atlas_1802_03158     SRaaWL                     6.0        3.7        1.1             0.0        2507.14        8.1       6.2       0                 0                 
atlas_1802_03158     SRajH                      3.0        1.14       0.500849278726  0.0        2507.14        6.29      4.12      0                 0                 
atlas_1802_03158     SRajL                      4.0        1.33       0.443846820423  0.0        2507.14        7.19      4.2       0                 0                 
atlas_1802_03158     SRajL200                   8.0        2.68       0.635019684734  0.0        2507.14        11.45     5.56      0                 0                 
atlas_1803_02762     S-2l0j-DF-100              78.0       68.0       7.0             0.0        2507.14        31.0      23.0      0                 0                 
atlas_1803_02762     S-2l0j-DF-150              11.0       11.5       3.1             0.0        2507.14        9.4       9.4       0                 0                 
atlas_1803_02762     S-2l0j-DF-200              6.0        2.1        1.9             0.0        2507.14        10.5      8.1       0                 0                 
atlas_1803_02762     S-2l0j-DF-300              2.0        0.6        0.6             0.0        2507.14        5.4       4.2       0                 0                 
atlas_1803_02762     S-2l0j-SF-loose            153.0      133.0      22.0            0.0        2507.14        61.0      48.0      0                 0                 
atlas_1803_02762     S-2l0j-SF-tight            9.0        9.8        2.9             0.0        2507.14        8.4       9.0       0                 0                 
atlas_1803_02762     S-2lj-SR2-high             0.0        1.6        1.37295302177   0.0        2507.14        2.9       3.6       0                 0                 
atlas_1803_02762     S-2lj-SR2-int              2.0        4.1        2.2360679775    0.0        2507.14        4.5       5.5       0                 0                 
atlas_1803_02762     S-2lj-SR2-low              11.0       4.2        2.65706605112   0.0        2507.14        14.8      11.0      0                 0                 
atlas_1803_02762     S-3l-WZ-0Ja                21.0       21.7       2.9             2507.14    2507.17420863  11.2      11.5      0                 0                 
atlas_1803_02762     S-3l-WZ-0Jb                1.0        2.7        0.5             0.0        2507.14        3.5       4.9       0                 0                 
atlas_1803_02762     S-3l-WZ-1Ja                1.0        2.2        0.5             0.0        2507.14        3.5       4.5       0                 0                 
atlas_1803_02762     S-3l-WZ-1Jb                3.0        1.8        0.3             0.0        2507.14        5.4       4.1       0                 0                 
atlas_1803_02762     S-3l-WZ-1Jc                4.0        1.3        0.3             0.0        2507.14        7.2       3.8       0                 0                 
atlas_1803_02762     S-3l-WZ-OJc                2.0        1.6        0.3             0.0        2507.14        4.5       3.8       0                 0                 
atlas_1803_02762     S-3l-slep-a                4.0        2.2        0.8             0.0        2507.14        6.8       5.1       0                 0                 
atlas_1803_02762     S-3l-slep-b                3.0        2.8        0.4             0.0        2507.14        5.1       5.0       0                 0                 
atlas_1803_02762     S-3l-slep-c                9.0        5.4        0.9             0.0        2507.14        10.1      6.5       0                 0                 
atlas_1803_02762     S-3l-slep-d                0.0        1.4        0.4             0.0        2507.14        3.0       4.2       0                 0                 
atlas_1803_02762     S-3l-slep-e                0.0        1.1        0.2             0.0        2507.14        3.1       3.8       0                 0                 
atlas_1807_07447     10j                        32.0       33.0       4.4             222.934    222.937041819  14.0      15.0      0                 0                 
atlas_1807_07447     11j                        3.0        7.7        6.2             0.0        222.934        5.2       6.7       0                 0                 
atlas_1807_07447     12j                        1.0        0.3        3.5             0.0        222.934        4.5       4.4       0                 0                 
atlas_1807_07447     131b8j                     3.0        1.3        0.4             0.0        222.934        6.1       3.9       0                 0                 
atlas_1807_07447     13j                        0.0        0.4        0.9             0.0        222.934        3.0       3.1       0                 0                 
atlas_1807_07447     14j                        0.0        0.3        0.6             0.0        222.934        3.0       2.8       0                 0                 
atlas_1807_07447     1b10j                      2.0        3.0        2.6             0.0        222.934        5.0       5.0       0                 0                 
atlas_1807_07447     1b11j                      0.0        0.1        2.0             0.0        222.934        3.0       3.0       0                 0                 
atlas_1807_07447     1b1j                       36353.0    35000.0    6000.0          235195.37  7344.56226942  10791.0   10243.0   20.6792964395     21.7856377895     
atlas_1807_07447     1b2j                       51112.0    51100.0    6700.0          156053.8   5954.348396    11371.0   11446.0   12.8650662765     12.7807678342     
atlas_1807_07447     1b3j                       34169.0    34169.0    4500.0          68886.606  3935.30984798  7616.0    7616.0    8.19757062097     8.19757062097     
atlas_1807_07447     1b4j                       15271.0    15750.0    2000.0          20955.796  2164.19577005  3045.0    3292.0    5.71642526671     5.28751972573     
atlas_1807_07447     1b5j                       5327.0     5327.0     890.0           6910.954   1241.76889317  1460.0    1460.0    3.33866644876     3.33866644876     
atlas_1807_07447     1b6j                       1450.0     1500.0     250.0           1560.538   589.884255756  382.0     405.0     1.55269062974     1.46451313718     
atlas_1807_07447     1b7j                       349.0      338.0      95.0            222.934    222.937041819  155.0     150.0     0                 0                 
atlas_1807_07447     1b8j                       81.0       81.0       20.0            0.0        222.934        37.0      37.0      0                 0                 
atlas_1807_07447     1b9j                       17.0       16.8       5.4             0.0        222.934        13.1      13.1      0                 0                 
atlas_1807_07447     1e1b4j                     1160.0     1190.0     230.0           668.802    386.148820275  355.0     368.0     0.100050520418    0.0965161270332   
atlas_1807_07447     1e1b5j                     225.0      208.0      28.0            445.868    315.28488982   72.0      59.0      0                 0                 
atlas_1807_07447     1e1b6j                     38.0       43.0       6.0             0.0        222.934        14.0      17.0      0                 0                 
atlas_1807_07447     1e1b7j                     11.0       6.9        4.0             0.0        222.934        13.6      11.2      0                 0                 
atlas_1807_07447     1e1b9j                     0.0        0.16       0.13            0.0        222.934        2.9       2.88      0                 0                 
atlas_1807_07447     1e1g                       133.0      96.0       20.0            0.0        222.934        72.0      49.0      0                 0                 
atlas_1807_07447     1e1g1b                     8.0        11.9       2.0             0.0        222.934        6.2       8.7       0                 0                 
atlas_1807_07447     1e1g1b1j                   16.0       13.8       2.6             222.934    222.937041819  11.9      10.3      0                 0                 
atlas_1807_07447     1e1g1b2j                   44.0       35.0       9.0             0.0        222.934        28.0      22.0      0                 0                 
atlas_1807_07447     1e1g1b3j                   16.0       12.1       3.1             0.0        222.934        13.4      10.8      0                 0                 
atlas_1807_07447     1e1g1b4j                   3.0        3.5        0.9             0.0        222.934        4.9       5.3       0                 0                 
atlas_1807_07447     1e1g1b5j                   1.0        0.8        0.3             0.0        222.934        3.7       3.2       0                 0                 
atlas_1807_07447     1e1g1j                     177.0      146.0      27.0            0.0        222.934        77.0      58.0      0                 0                 
atlas_1807_07447     1e1g2b                     2.0        3.0        1.0             0.0        222.934        4.0       5.0       0                 0                 
atlas_1807_07447     1e1g2b1j                   15.0       16.7       4.3             0.0        222.934        10.5      11.4      0                 0                 
atlas_1807_07447     1e1g2b2j                   11.0       7.8        2.6             0.0        222.934        11.4      9.2       0                 0                 
atlas_1807_07447     1e1g2b3j                   3.0        2.7        0.8             0.0        222.934        5.4       5.3       0                 0                 
atlas_1807_07447     1e1g2b4j                   1.0        0.5        0.2             0.0        222.934        3.7       3.1       0                 0                 
atlas_1807_07447     1e1g2b5j                   0.0        0.1        0.05            0.0        222.934        3.0       2.9       0                 0                 
atlas_1807_07447     1e1g2j                     77.0       62.0       12.0            0.0        222.934        40.0      30.0      0                 0                 
atlas_1807_07447     1e1g3b                     2.0        0.7        0.3             0.0        222.934        5.0       3.4       0                 0                 
atlas_1807_07447     1e1g3b1j                   1.0        0.7        0.2             0.0        222.934        3.6       3.0       0                 0                 
atlas_1807_07447     1e1g3b2j                   0.0        0.3        0.12            0.0        222.934        3.0       2.9       0                 0                 
atlas_1807_07447     1e1g3b3j                   0.0        0.14       0.07            0.0        222.934        2.94      2.95      0                 0                 
atlas_1807_07447     1e1g3j                     68.0       65.0       12.0            0.0        222.934        29.0      28.0      0                 0                 
atlas_1807_07447     1e1g4j                     18.0       15.2       3.2             0.0        222.934        13.2      10.9      0                 0                 
atlas_1807_07447     1e1g5j                     3.0        2.4        1.0             0.0        222.934        5.6       5.3       0                 0                 
atlas_1807_07447     1e1g6j                     0.0        0.65       0.2             0.0        222.934        2.95      2.89      0                 0                 
atlas_1807_07447     1e1g7j                     2.0        0.2        0.15            0.0        222.934        5.6       3.0       0                 0                 
atlas_1807_07447     1e2b                       710.0      692.0      92.0            0.0        222.934        179.0     172.0     0                 0                 
atlas_1807_07447     1e2b1j                     7512.0     6622.0     1500.0          7579.756   1300.52034188  3049.0    2631.0    1.7864554409      2.0702784642      
atlas_1807_07447     1e2b2j                     3017.0     2662.0     500.0           2229.34    705.075392758  1098.0    918.0     0.977246225753    1.16886313276     
atlas_1807_07447     1e2b3j                     873.0      770.0      100.0           445.868    315.28488982   272.0     201.0     0                 0                 
atlas_1807_07447     1e2b4j                     223.0      182.0      35.0            445.868    315.28488982   99.0      74.0      0                 0                 
atlas_1807_07447     1e2b5j                     41.0       40.0       7.0             0.0        222.934        20.0      19.0      0                 0                 
atlas_1807_07447     1e2b6j                     14.0       7.6        1.7             0.0        222.934        14.5      8.3       0                 0                 
atlas_1807_07447     1e2b7j                     1.0        1.5        0.7             0.0        222.934        3.8       4.0       0                 0                 
atlas_1807_07447     1e2b8j                     1.0        0.17       0.17            0.0        222.934        3.9       2.98      0                 0                 
atlas_1807_07447     1e2g                       0.0        0.7        0.2             0.0        222.934        3.0       2.9       0                 0                 
atlas_1807_07447     1e2g1b1j                   0.0        0.14       0.1             0.0        222.934        2.91      2.88      0                 0                 
atlas_1807_07447     1e2g1b2j                   0.0        0.18       0.07            0.0        222.934        2.92      2.91      0                 0                 
atlas_1807_07447     1e2g1j                     1.0        0.54       0.22            0.0        222.934        3.68      3.05      0                 0                 
atlas_1807_07447     1e2g2j                     0.0        0.24       0.12            0.0        222.934        2.94      2.93      0                 0                 
atlas_1807_07447     1e2g3j                     0.0        0.19       0.1             0.0        222.934        2.95      2.9       0                 0                 
atlas_1807_07447     1e3b                       426.0      340.0      45.0            0.0        222.934        162.0     102.0     0                 0                 
atlas_1807_07447     1e3b1j                     338.0      256.0      41.0            445.868    315.28488982   150.0     95.0      0                 0                 
atlas_1807_07447     1e3b2j                     158.0      108.0      18.0            445.868    315.28488982   84.0      48.0      0                 0                 
atlas_1807_07447     1e3b3j                     46.0       35.5       8.0             0.0        222.934        28.6      21.2      0                 0                 
atlas_1807_07447     1e3b4j                     9.0        9.0        2.6             0.0        222.934        9.0       9.0       0                 0                 
atlas_1807_07447     1e3b5j                     2.0        2.2        0.7             0.0        222.934        4.5       4.7       0                 0                 
atlas_1807_07447     1e3b6j                     1.0        0.5        0.4             0.0        222.934        3.7       3.3       0                 0                 
atlas_1807_07447     1e4b                       13.0       8.0        3.0             0.0        222.934        14.0      10.0      0                 0                 
atlas_1807_07447     1e4b1j                     13.0       7.4        2.4             0.0        222.934        14.0      9.8       0                 0                 
atlas_1807_07447     1e4b2j                     3.0        3.7        2.3             0.0        222.934        5.8       5.8       0                 0                 
atlas_1807_07447     1e4b3j                     3.0        1.4        0.7             0.0        222.934        6.2       4.5       0                 0                 
atlas_1807_07447     1e4b4j                     0.0        0.4        0.3             0.0        222.934        3.0       2.9       0                 0                 
atlas_1807_07447     1e4b5j                     0.0        0.1        0.05            0.0        222.934        2.9       2.9       0                 0                 
atlas_1807_07447     1e5b                       0.0        0.2        0.8             0.0        222.934        2.9       2.9       0                 0                 
atlas_1807_07447     1e5b1j                     1.0        0.3        0.12            0.0        222.934        3.9       3.1       0                 0                 
atlas_1807_07447     1e5b2j                     0.0        0.14       0.12            0.0        222.934        2.98      2.88      0                 0                 
atlas_1807_07447     1e5j                       954.0      953.0      270.0           891.736    445.892334056  406.0     405.0     0.395252640759    0.396228573205    
atlas_1807_07447     1e6j                       167.0      155.0      60.0            222.934    222.937041819  98.0      92.0      0                 0                 
atlas_1807_07447     1e7j                       32.0       31.5       18.0            0.0        222.934        26.4      26.1      0                 0                 
atlas_1807_07447     1e8j                       6.0        4.5        2.4             0.0        222.934        8.5       7.4       0                 0                 
atlas_1807_07447     1e9j                       2.0        0.5        0.4             0.0        222.934        5.2       3.7       0                 0                 
atlas_1807_07447     1g10j                      2.0        0.1        1.0             0.0        222.934        6.4       6.1       0                 0                 
atlas_1807_07447     1g1b                       5583.0     5750.0     1700.0          0.0        222.934        2357.0    2399.0    0                 0                 
atlas_1807_07447     1g1b1j                     5266.0     5266.0     2000.0          891.736    445.892334056  2732.0    2732.0    0.0587381303616   0.0587381303616   
atlas_1807_07447     1g1b2j                     2468.0     2468.0     930.0           222.934    222.937041819  1279.0    1279.0    0                 0                 
atlas_1807_07447     1g1b3j                     792.0      815.0      310.0           0.0        222.934        408.0     420.0     0                 0                 
atlas_1807_07447     1g1b4j                     195.0      196.0      82.0            0.0        222.934        113.0     114.0     0                 0                 
atlas_1807_07447     1g1b5j                     54.0       54.0       25.0            222.934    222.937041819  37.0      37.0      0                 0                 
atlas_1807_07447     1g1b6j                     9.0        9.2        3.8             0.0        222.934        9.2       9.3       0                 0                 
atlas_1807_07447     1g1b7j                     3.0        1.6        0.9             0.0        222.934        6.2       4.8       0                 0                 
atlas_1807_07447     1g1b8j                     0.0        0.3        0.2             0.0        222.934        3.0       2.9       0                 0                 
atlas_1807_07447     1g1j                       106003.0   106000.0   28000.0         445.868    315.28488982   41917.0   42323.0   0                 0                 
atlas_1807_07447     1g2b                       330.0      340.0      130.0           0.0        222.934        173.0     178.0     0                 0                 
atlas_1807_07447     1g2b1j                     286.0      294.0      110.0           0.0        222.934        150.0     151.0     0                 0                 
