analysis             sr                         signal_normevents  signal_err_tot  
atlas_1807_07447     1m3b6j                     0.0                222.934         
atlas_1807_07447     1m3b7j                     0.0                222.934         
atlas_1807_07447     1m3e                       0.0                222.934         
atlas_1807_07447     1m3j                       5796.284           1137.14801518   
atlas_1807_07447     1m4b                       0.0                222.934         
atlas_1807_07447     1m4b1j                     0.0                222.934         
atlas_1807_07447     1m4b2j                     0.0                222.934         
atlas_1807_07447     1m4b3j                     0.0                222.934         
atlas_1807_07447     1m4b4j                     0.0                222.934         
atlas_1807_07447     1m4b5j                     0.0                222.934         
atlas_1807_07447     1m4j                       1560.538           589.884255756   
atlas_1807_07447     1m5b                       0.0                222.934         
atlas_1807_07447     1m5b1j                     0.0                222.934         
atlas_1807_07447     1m5b2j                     0.0                222.934         
atlas_1807_07447     1m5j                       445.868            315.28488982    
atlas_1807_07447     1m6j                       0.0                222.934         
atlas_1807_07447     1m7j                       0.0                222.934         
atlas_1807_07447     1m8j                       0.0                222.934         
atlas_1807_07447     1m9j                       0.0                222.934         
atlas_1807_07447     2b                         0.0                222.934         
atlas_1807_07447     2b1j                       75128.758          4111.29949391   
atlas_1807_07447     2b2j                       40351.054          3006.6683019    
atlas_1807_07447     2b3j                       21847.532          2209.88307644   
atlas_1807_07447     2b4j                       6910.954           1241.76889317   
atlas_1807_07447     2b5j                       2006.406           668.884124638   
atlas_1807_07447     2b6j                       668.802            386.148820275   
atlas_1807_07447     2b7j                       222.934            222.937041819   
atlas_1807_07447     2b8j                       0.0                222.934         
atlas_1807_07447     2b9j                       0.0                222.934         
atlas_1807_07447     2e                         0.0                222.934         
atlas_1807_07447     2e1b                       0.0                222.934         
atlas_1807_07447     2e1b1j                     891.736            445.892334056   
atlas_1807_07447     2e1b2j                     0.0                222.934         
atlas_1807_07447     2e1b3j                     222.934            222.937041819   
atlas_1807_07447     2e1b4j                     0.0                222.934         
atlas_1807_07447     2e1b5j                     0.0                222.934         
atlas_1807_07447     2e1b6j                     0.0                222.934         
atlas_1807_07447     2e1b7j                     0.0                222.934         
atlas_1807_07447     2e1g                       0.0                222.934         
atlas_1807_07447     2e1g1b                     0.0                222.934         
atlas_1807_07447     2e1g1b1j                   0.0                222.934         
atlas_1807_07447     2e1g1b2j                   0.0                222.934         
atlas_1807_07447     2e1g1b3j                   0.0                222.934         
atlas_1807_07447     2e1g1j                     0.0                222.934         
atlas_1807_07447     2e1g2b                     0.0                222.934         
atlas_1807_07447     2e1g2b1j                   0.0                222.934         
atlas_1807_07447     2e1g2j                     0.0                222.934         
atlas_1807_07447     2e1g3b                     0.0                222.934         
atlas_1807_07447     2e1g3j                     0.0                222.934         
atlas_1807_07447     2e1g4j                     0.0                222.934         
atlas_1807_07447     2e1g5j                     0.0                222.934         
atlas_1807_07447     2e1j                       1114.67            498.529586141   
atlas_1807_07447     2e2b                       0.0                222.934         
atlas_1807_07447     2e2b1j                     0.0                222.934         
atlas_1807_07447     2e2b2j                     0.0                222.934         
atlas_1807_07447     2e2b3j                     0.0                222.934         
atlas_1807_07447     2e2b4j                     0.0                222.934         
atlas_1807_07447     2e2b5j                     0.0                222.934         
atlas_1807_07447     2e2g                       0.0                222.934         
atlas_1807_07447     2e2j                       0.0                222.934         
atlas_1807_07447     2e3b                       0.0                222.934         
atlas_1807_07447     2e3b1j                     0.0                222.934         
atlas_1807_07447     2e3b2j                     0.0                222.934         
atlas_1807_07447     2e3b3j                     0.0                222.934         
atlas_1807_07447     2e3b4j                     0.0                222.934         
atlas_1807_07447     2e3j                       0.0                222.934         
atlas_1807_07447     2e4b                       0.0                222.934         
atlas_1807_07447     2e4b1j                     0.0                222.934         
atlas_1807_07447     2e4j                       0.0                222.934         
atlas_1807_07447     2e5j                       0.0                222.934         
atlas_1807_07447     2e6j                       0.0                222.934         
atlas_1807_07447     2e7j                       0.0                222.934         
atlas_1807_07447     2e8j                       0.0                222.934         
atlas_1807_07447     2g                         0.0                222.934         
atlas_1807_07447     2g1b                       0.0                222.934         
atlas_1807_07447     2g1b1j                     0.0                222.934         
atlas_1807_07447     2g1b2j                     0.0                222.934         
atlas_1807_07447     2g1b3j                     0.0                222.934         
atlas_1807_07447     2g1b4j                     0.0                222.934         
atlas_1807_07447     2g1b5j                     0.0                222.934         
atlas_1807_07447     2g1j                       0.0                222.934         
atlas_1807_07447     2g2b                       0.0                222.934         
atlas_1807_07447     2g2b1j                     0.0                222.934         
atlas_1807_07447     2g2b2j                     0.0                222.934         
atlas_1807_07447     2g2b3j                     0.0                222.934         
atlas_1807_07447     2g2j                       0.0                222.934         
atlas_1807_07447     2g3j                       0.0                222.934         
atlas_1807_07447     2g4j                       0.0                222.934         
atlas_1807_07447     2g5j                       0.0                222.934         
atlas_1807_07447     2g6j                       0.0                222.934         
atlas_1807_07447     2g7j                       0.0                222.934         
atlas_1807_07447     2j                         190608.57          6594.2846672    
atlas_1807_07447     2m                         0.0                222.934         
atlas_1807_07447     2m1b                       0.0                222.934         
atlas_1807_07447     2m1b1j                     1114.67            498.529586141   
atlas_1807_07447     2m1b2j                     222.934            222.937041819   
