analysis             sr                         o          b          db              s              ds              s95obs    s95exp    robscons         rexpcons         
atlas_1807_07447     1g1b8j                     0.0        0.3        0.2             0.0            0.320980868329  3.0       2.9       0                0                
atlas_1807_07447     1g1j                       106003.0   106000.0   28000.0         0.0            0.320980868329  41917.0   42323.0   0                0                
atlas_1807_07447     1g2b                       330.0      340.0      130.0           0.0            0.320980868329  173.0     178.0     0                0                
atlas_1807_07447     1g2b1j                     286.0      294.0      110.0           0.0            0.320980868329  150.0     151.0     0                0                
atlas_1807_07447     1g2b2j                     155.0      160.0      60.0            0.0            0.320980868329  83.0      84.0      0                0                
atlas_1807_07447     1g2b3j                     50.0       51.0       15.0            0.0            0.320980868329  27.0      27.0      0                0                
atlas_1807_07447     1g2b4j                     14.0       14.2       4.8             0.0            0.320980868329  11.5      11.8      0                0                
atlas_1807_07447     1g2b5j                     3.0        3.3        1.3             0.0            0.320980868329  5.3       5.5       0                0                
atlas_1807_07447     1g2b6j                     0.0        0.8        0.5             0.0            0.320980868329  2.9       3.0       0                0                
atlas_1807_07447     1g2b7j                     0.0        0.15       0.15            0.0            0.320980868329  2.97      2.84      0                0                
