# model-independent search for whatever
# numbers from histograms, errors might happen
# interpret results with caution
# additional signal regions in cutflow

Inputfile:
XSect:           694500 fb
 Error:          3628 fb
MCEvents:        10000
 SumOfWeights:   10000
 SumOfWeights2:  10000
 NormEvents:     2.22934e+06

SR           Sum_W  Sum_W2  Acc     N_Norm   
2e1g2b1j     0      0       0       0        
2e1g2j       0      0       0       0        
2e1g3b       0      0       0       0        
2e1g3j       0      0       0       0        
2e1g4j       0      0       0       0        
2e1g5j       0      0       0       0        
2e1j         5      5       0.0005  1114.67  
2e2b         2      2       0.0002  445.869  
2e2b1j       0      0       0       0        
2e2b2j       0      0       0       0        
2e2b3j       0      0       0       0        
2e2b4j       0      0       0       0        
2e2b5j       0      0       0       0        
2e2g         0      0       0       0        
2e2j         0      0       0       0        
2e3b         0      0       0       0        
2e3b1j       0      0       0       0        
2e3b2j       0      0       0       0        
2e3b3j       0      0       0       0        
2e3b4j       0      0       0       0        
2e3j         0      0       0       0        
2e4b         0      0       0       0        
2e4b1j       0      0       0       0        
2e4j         0      0       0       0        
2e5j         0      0       0       0        
2e6j         0      0       0       0        
2e7j         0      0       0       0        
2e8j         0      0       0       0        
2g           0      0       0       0        
2g1b         0      0       0       0        
2g1b1j       0      0       0       0        
2g1b2j       0      0       0       0        
2g1b3j       0      0       0       0        
2g1b4j       0      0       0       0        
2g1b5j       0      0       0       0        
2g1j         0      0       0       0        
2g2b         0      0       0       0        
2g2b1j       0      0       0       0        
2g2b2j       0      0       0       0        
2g2b3j       0      0       0       0        
2g2j         0      0       0       0        
2g3j         0      0       0       0        
2g4j         0      0       0       0        
2g5j         0      0       0       0        
2g6j         0      0       0       0        
2g7j         0      0       0       0        
2j           855    855     0.0855  190609   
2m           19     19      0.0019  4235.76  
2m1b         9      9       0.0009  2006.41  
2m1b1j       5      5       0.0005  1114.67  
2m1b2j       1      1       0.0001  222.935  
2m1b3j       0      0       0       0        
2m1b4j       0      0       0       0        
2m1b5j       0      0       0       0        
2m1b6j       0      0       0       0        
2m1b7j       0      0       0       0        
2m1e         0      0       0       0        
2m1e1b       0      0       0       0        
2m1e1b1j     0      0       0       0        
2m1e1b2j     0      0       0       0        
2m1e1b3j     0      0       0       0        
2m1e1g1j     0      0       0       0        
2m1e1j       0      0       0       0        
2m1e2b       0      0       0       0        
2m1e2b1j     0      0       0       0        
2m1e2b2j     0      0       0       0        
2m1e2j       0      0       0       0        
2m1e3j       0      0       0       0        
2m1e4j       0      0       0       0        
2m1g         0      0       0       0        
2m1g1b       0      0       0       0        
2m1g1b1j     0      0       0       0        
2m1g1b2j     0      0       0       0        
2m1g1b3j     0      0       0       0        
2m1g1j       0      0       0       0        
2m1g2b       0      0       0       0        
2m1g2b1j     0      0       0       0        
2m1g2b2j     0      0       0       0        
2m1g2j       0      0       0       0        
2m1g3j       0      0       0       0        
2m1g4j       0      0       0       0        
2m1j         3      3       0.0003  668.803  
2m2b         3      3       0.0003  668.803  
2m2b1j       0      0       0       0        
2m2b2j       0      0       0       0        
2m2b3j       0      0       0       0        
2m2b4j       0      0       0       0        
2m2b5j       0      0       0       0        
2m2b6j       0      0       0       0        
2m2e         0      0       0       0        
2m2e1b       0      0       0       0        
2m2e1b1j     0      0       0       0        
2m2e1j       0      0       0       0        
2m2e2j       0      0       0       0        
2m2g         0      0       0       0        
2m2g2j       0      0       0       0        
2m2j         1      1       0.0001  222.935  
2m3b         0      0       0       0        
2m3b1j       0      0       0       0        
2m3b2j       0      0       0       0        
2m3b3j       0      0       0       0        
2m3j         1      1       0.0001  222.935  
2m4b         0      0       0       0        
2m4b1j       0      0       0       0        
2m4j         0      0       0       0        
2m5j         0      0       0       0        
2m6j         0      0       0       0        
2m7j         0      0       0       0        
2m8j         0      0       0       0        
3b           22     22      0.0022  4904.56  
3b1j         28     28      0.0028  6242.17  
3b2j         9      9       0.0009  2006.41  
3b3j         5      5       0.0005  1114.67  
3b4j         5      5       0.0005  1114.67  
3b5j         0      0       0       0        
3b6j         0      0       0       0        
3b7j         0      0       0       0        
3b8j         0      0       0       0        
3b9j         0      0       0       0        
3e           0      0       0       0        
3e1b         0      0       0       0        
3e1b1j       0      0       0       0        
3e1b2j       0      0       0       0        
3e1b3j       0      0       0       0        
3e1j         0      0       0       0        
3e2b         0      0       0       0        
3e2b1j       0      0       0       0        
3e2b2j       0      0       0       0        
3e2j         0      0       0       0        
3e3j         0      0       0       0        
3e4j         0      0       0       0        
3g           0      0       0       0        
3g1j         0      0       0       0        
3j           382    382     0.0382  85161    
3m           0      0       0       0        
3m1b         0      0       0       0        
3m1b1j       0      0       0       0        
3m1b2j       0      0       0       0        
3m1b3j       0      0       0       0        
3m1b4j       0      0       0       0        
3m1e2b       0      0       0       0        
3m1j         0      0       0       0        
3m2b         0      0       0       0        
3m2b1j       0      0       0       0        
3m2b2j       0      0       0       0        
3m2j         0      0       0       0        
3m3j         0      0       0       0        
3m4j         0      0       0       0        
3m5j         0      0       0       0        
4b           2      2       0.0002  445.869  
4b1j         0      0       0       0        
4b2j         2      2       0.0002  445.869  
4b3j         0      0       0       0        
4b4j         0      0       0       0        
4b5j         0      0       0       0        
4b6j         0      0       0       0        
4e           0      0       0       0        
4e1b         0      0       0       0        
4e1j         0      0       0       0        
4j           134    134     0.0134  29873.2  
4m           0      0       0       0        
4m1j         0      0       0       0        
4m2j         0      0       0       0        
5b           0      0       0       0        
5b1j         0      0       0       0        
5b2j         0      0       0       0        
5b3j         0      0       0       0        
5b4j         0      0       0       0        
5j           40     40      0.004   8917.38  
6b           0      0       0       0        
6b1j         0      0       0       0        
6b2j         0      0       0       0        
6b3j         0      0       0       0        
6j           2      2       0.0002  445.869  
7b           0      0       0       0        
7j           3      3       0.0003  668.803  
8b1j         0      0       0       0        
8j           0      0       0       0        
9j           0      0       0       0        
MET1b        3      3       0.0003  668.803  
MET1b1j      9      9       0.0009  2006.41  
MET1b2j      10     10      0.001   2229.34  
MET1b3j      4      4       0.0004  891.738  
MET1b4j      2      2       0.0002  445.869  
MET1b5j      0      0       0       0        
MET1b6j      0      0       0       0        
MET1b7j      0      0       0       0        
MET1b8j      0      0       0       0        
MET1e1b      3      3       0.0003  668.803  
MET1e1b1j    1      1       0.0001  222.935  
MET1e1b2j    1      1       0.0001  222.935  
MET1e1b3j    0      0       0       0        
MET1e1b4j    0      0       0       0        
MET1e1b5j    0      0       0       0        
MET1e1b6j    0      0       0       0        
MET1e1b7j    0      0       0       0        
MET1e1g      0      0       0       0        
MET1e1g1b    0      0       0       0        
MET1e1g1b1j  0      0       0       0        
MET1e1g1b2j  0      0       0       0        
MET1e1g1b3j  0      0       0       0        
MET1e1g1j    0      0       0       0        
MET1e1g2b2j  0      0       0       0        
MET1e1g2j    0      0       0       0        
MET1e1g3j    0      0       0       0        
MET1e1g4j    0      0       0       0        
MET1e1j      1      1       0.0001  222.935  
MET1e2b      0      0       0       0        
MET1e2b1j    2      2       0.0002  445.869  
MET1e2b2j    0      0       0       0        
MET1e2b3j    0      0       0       0        
MET1e2b4j    0      0       0       0        
MET1e2b5j    0      0       0       0        
MET1e2j      6      6       0.0006  1337.61  
