# model-independent search for whatever
# numbers from histograms, errors might happen
# interpret results with caution
# additional signal regions in cutflow

Inputfile:
XSect:           844100 fb
 Error:          1900 fb
MCEvents:        10000
 SumOfWeights:   8.4415e+06
 SumOfWeights2:  7.12589e+09
 NormEvents:     2.70956e+06

SR           Sum_W        Sum_W2       Acc     N_Norm   
MET3b5j      0            0            0       0        
MET3e        0            0            0       0        
MET3e1j      0            0            0       0        
MET3e2j      0            0            0       0        
MET3j        0            0            0       0        
MET3m1j      0            0            0       0        
MET3m2j      0            0            0       0        
MET4b        0            0            0       0        
MET4b1j      0            0            0       0        
MET4b2j      0            0            0       0        
MET4b3j      0            0            0       0        
MET4j        0            0            0       0        
MET5j        0            0            0       0        
MET6j        0            0            0       0        
MET7j        0            0            0       0        
MET8j        0            0            0       0        
MET9j        0            0            0       0        
